iter	Accuracy	MultiClass
0	0.6416145833	1.686527595
1	0.6535395833	1.60147638
2	0.659865625	1.530629566
3	0.659696875	1.470269123
4	0.6603770833	1.418546659
5	0.6671572917	1.372818733
6	0.6675625	1.331811497
7	0.668075	1.294076243
8	0.667646875	1.260869068
9	0.6682020833	1.229682255
10	0.6692604167	1.201434478
11	0.6696885417	1.17581207
12	0.6709854167	1.151586585
13	0.6767739583	1.129152456
14	0.6763291667	1.108938904
15	0.6773322917	1.089662516
16	0.6781177083	1.071553506
17	0.685396875	1.055521949
