iter	Passed	Remaining
0	186	18440
1	320	15722
2	457	14798
3	566	13599
4	680	12921
5	802	12568
6	930	12365
7	1066	12263
8	1196	12101
9	1337	12038
10	1517	12279
11	1643	12050
12	1771	11856
13	1893	11633
14	2012	11403
15	2141	11245
16	2266	11064
17	2374	10817
18	2490	10616
19	2600	10401
20	2727	10260
21	2899	10279
22	3020	10111
23	3167	10029
24	3309	9928
25	3453	9829
26	3571	9656
27	3690	9489
28	3816	9343
29	3934	9179
30	4078	9077
31	4204	8935
32	4327	8785
33	4453	8644
34	4568	8485
35	4684	8327
36	4800	8173
37	4919	8026
38	5051	7901
39	5185	7777
40	5328	7668
41	5448	7524
42	5553	7361
43	5661	7205
44	5767	7049
45	5878	6900
46	5978	6741
47	6100	6609
48	6211	6465
49	6314	6314
50	6421	6169
51	6524	6023
52	6656	5903
53	6768	5765
54	6875	5625
55	6986	5489
56	7096	5353
57	7215	5225
58	7324	5089
59	7430	4953
60	7543	4822
61	7656	4692
62	7789	4574
63	7894	4440
64	8007	4311
65	8124	4185
66	8236	4056
67	8339	3924
68	8455	3798
69	8565	3670
70	8680	3545
71	8781	3414
72	8900	3291
73	9005	3164
74	9102	3034
75	9208	2907
76	9298	2777
77	9418	2656
78	9531	2533
79	9641	2410
80	9747	2286
81	9850	2162
82	9980	2044
83	10079	1919
84	10196	1799
85	10298	1676
86	10408	1555
87	10518	1434
88	10621	1312
89	10745	1193
90	10857	1073
91	10968	953
92	11116	836
93	11218	716
94	11317	595
95	11440	476
96	11552	357
97	11659	237
98	11778	118
99	11895	0
