접수년도,대학가,법정동명,행정동명,20대 인구 합계
2018,서울교대,서초동,서초1동,3002
2018,서울교대,서초동,서초2동,2639
2018,서울교대,서초동,서초3동,4959
2018,서울교대,서초동,서초4동,3731
2018,서울대,봉천동,낙성대동,5088
2018,서울대,봉천동,보라매동,4459
2018,서울대,봉천동,성현동,4091
2018,서울대,봉천동,은천동,5256
2018,서울대,봉천동,인헌동,5634
2018,서울대,봉천동,중앙동,4143
2018,서울대,봉천동,청룡동,8898
2018,서울대,봉천동,청림동,1945
2018,서울대,봉천동,행운동,7396
2018,서울대,신림동,난곡동,4216
2018,서울대,신림동,난향동,1809
2018,서울대,신림동,대학동,6474
2018,서울대,신림동,미성동,4993
2018,서울대,신림동,삼성동,3281
2018,서울대,신림동,서림동,5823
2018,서울대,신림동,서원동,6047
2018,서울대,신림동,신림동,7918
2018,서울대,신림동,신사동,5247
2018,서울대,신림동,신원동,4188
2018,서울대,신림동,조원동,3699
2018,서울시립대,답십리동,답십리1동,3986
2018,서울시립대,답십리동,답십리2동,3783
2018,서울시립대,전농동,전농1동,4503
2018,서울시립대,전농동,전농2동,2489
2018,서울시립대,청량리동,청량리동,2655
2018,서울시립대,휘경동,휘경1동,2760
2018,서울시립대,휘경동,휘경2동,5029
2018,홍익대,상수동,서강동,4541
2018,홍익대,서교동,서교동,5294
2018,홍익대,합정동,합정동,3587
2019,서울교대,서초동,서초1동,2904
2019,서울교대,서초동,서초2동,2711
2019,서울교대,서초동,서초3동,5012
2019,서울교대,서초동,서초4동,3651
2019,서울대,봉천동,낙성대동,5255
2019,서울대,봉천동,보라매동,4637
2019,서울대,봉천동,성현동,3878
2019,서울대,봉천동,은천동,5506
2019,서울대,봉천동,인헌동,5815
2019,서울대,봉천동,중앙동,4359
2019,서울대,봉천동,청룡동,10375
2019,서울대,봉천동,청림동,1944
2019,서울대,봉천동,행운동,7414
2019,서울대,신림동,난곡동,4217
2019,서울대,신림동,난향동,1741
2019,서울대,신림동,대학동,6231
