"대지위치","시군구코드명","법정동코드명","대지구분코드명","주지번","부지번","특수지명","블록번호","로트번호","새주소도로코드명","새주소법정동코드명","새주소지상지하구분코드명","새주소주지번","새주소부지번","건축물대장일련번호","대장구분코드명","대장종류코드명","대지면적","건축면적","건폐율","연면적","용적률산정연면적","용적률","주용도코드","주용도코드명","기타용도내용","세대수","가구수","호수","승용승강기수","비상용승강기수","주건축물수","부속건축물수","부속건축물면적","총주차수","옥내기계식대수","옥내기계식면적","옥외기계식대수","옥외기계식면적","옥내자주식대수","옥내자주식면적","옥외자주식대수","옥외자주식면적","허가일자","착공일자","사용승인일자","에너지효율등급값","에너지절감률","EPI점수","친환경건축물등급값","친환경건축물인증점수","지능형건축물등급값","지능형건축물인증점수"
"서울특별시 서대문구 대현동 11-1","서울특별시 서대문구","대현동","대지","0011","0001","","","","이화여대길","대현동","지상","52","0","10141100186411","일반","총괄표제부","540419.3","42818.27","7.92","243350.83","148365.37","27.45","10000","교육연구시설","학교","","","","","","64","","","2074","","","","","1150","","924","","","","","","","","","","",""
"서울특별시 강서구 방화동 819","서울특별시 강서구","방화동","대지","0819","0000","","","","금낭화로","방화동","지상","167","","10171515","집합","총괄표제부","25144","6820.65","27.13","77919.46","60351.54","240.01","02000","공동주택","아파트,상가","462","0","","","","8","11","12388.5","635","","","","","401","","234","","1992-06-12","","1994-03-31","","","","","","",""
"서울특별시 강서구 방화동 852","서울특별시 강서구","방화동","대지","0852","0000","","","","양천로6길","방화동","지상","28","","10171631","집합","총괄표제부","29980","5220.44","17.41","67791.03","62163.02","207.41","02000","공동주택","아파트","930","","","","","9","6","5754.2","407","","","","","170","4609.74","237","","1991-12-28","1992-05-15","1994-05-14","","","","","","",""
"서울특별시 구로구 구로동 771-10","서울특별시 구로구","구로동","대지","0771","0010","","","","도림로","구로동","지상","35","1","10181502","일반","총괄표제부","208","119.06","57.24","119.06","119.06","57.24","03000","제1종근린생활시설","근린생활시설, 여인숙","2","0","","","","2","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"서울특별시 양천구 신월동 222-7","서울특별시 양천구","신월동","대지","0222","0007","","","","곰달래로2길","신월동","지상","16","","10161259","집합","총괄표제부","","1349.04","","22424.39","15892.27","","02000","공동주택","아파트 및 근린생활시설","170","","6","","","2","","","145","","","","","133","","9","","","","","","","","","","",""
"서울특별시 영등포구 문래동2가 14-18","서울특별시 영등포구","문래동2가","대지","0014","0018","","","","도림로135길","문래동2가","지상","8","1","102011628","일반","총괄표제부","","38.67","","38.67","38.67","","04000","제2종근린생활시설","제2종근린생활시설(일반음식점)","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
"서울특별시 동대문구 장안동 329-1","서울특별시 동대문구","장안동","대지","0329","0001","","","","답십리로69길","장안동","지상","106","","10071311","일반","총괄표제부","","","","4485.06","","","Z8000","교육연구및복지시설","","","","","","","5","","","","","","","","","","","","","","","","","","","","",""
"서울특별시 성북구 성북동 151","서울특별시 성북구","성북동","대지","0151","0000","","","","성북로14가길","성북동","지상","23","","100911262","일반","총괄표제부","35338","6514.65","18.43","19023.28","18588.97","52.6","10000","교육연구시설","학교","0","0","","","","3","10","1567.87","","","","","","","","","","","","","","","","","","",""
"서울특별시 성북구 종암동 34-3","서울특별시 성북구","종암동","대지","0034","0003","","","","종암로5길","종암동","지상","26","0","10091910","집합","총괄표제부","","4967.52","","25461.6","25461.6","","02000","공동주택","아파트, 상가동(생활편익시설)","238","","","","","3","1","105.6","","","","","","","","","","","","","","","","","","",""
"서울특별시 마포구 신공덕동 172","서울특별시 마포구","신공덕동","대지","0172","0000","","","","","","지상","","","10151100208091","집합","총괄표제부","15458.3","4505.53","28.99","117847.89","75754.652","487.45","02000","공동주택","공동주택(아파트),업무시설(오피스텔),제1,2종근린생활시설","476","","152","","","5","2","37429.277","942","","","","","942","31233.699","","","2006-07-06","2008-03-31","2011-05-18","","","","","","",""
